filename,description
images/img1.jpg,"Photograph of a bustling urban street with a woman in a white coat and floral pants crossing a zebra crossing. Background includes modern buildings, pedestrians, and storefronts."
images/img2.jpg,"Photograph of a classroom with a young woman in a white shirt and black skirt pointing at a wall adorned with children's educational posters and illustrations."
images/img3.jpg,"A photograph captures a man in traditional Sikh attire rowing a small boat on the calm waters of the Golden Temple, Amritsar, during sunset. The temple's golden dome glows against a vibrant, cloud-streaked sky."
images/img4.jpg,"Photograph of a light-skinned woman with long dark hair, wearing a white flowy top and pants, gracefully dancing against a gradient gray background, arms extended, with soft lighting highlighting her form and creating a dynamic, ethereal atmosphere."
images/img5.jpg,"Photograph of a man in a teal suit,holding a phone, carrying a black bag, standing on a city street with a concrete building, traffic signs, and pedestrians in the background."
images/img6.jpg,"Photo of two young girls standing back to back in a field at sunset, wearing floral dresses and cowboy hats, looking at the horizon, soft warm light, long shadows, serene atmosphere"
images/img7.jpg,"Photograph of a young woman , cutting vegetables in a modern kitchen."
images/img8.jpg,"a woman with long, brown dreadlocks, wearing a light grey shirt, sitting cross-legged on a rock, meditating, overlooking a vast, sunlit canyon landscape with distant red cliffs."
images/img9.jpg,"Photograph of a cozy library with a brown leather sofa draped in a dark brown blanket, wooden bookshelves filled with colorful books, a patterned rug, and a small side table."
images/img10.jpg,"a blonde woman in a gray hoodie eating a sandwich in a cozy cafe, with a bowl of salad and a milkshake on a dark wooden table."
images/img11.jpg,"a small girl ,wearing a high brimmed hat, carrying multiple bags walking down the busy street of Vietnam"
images/img12.jpg,"a blue train winding through lush, green hills with a smiling woman in a blue shirt onboard."
images/img13.jpg,"a young man in a gray hoodie, sitting on rocky terrain, gazing at a serene mountainous lake at dusk."
images/img14.jpg,"A woman in a striped dress cradles her baby near a window with brown curtains and a view of the greenery outside."
images/img15.jpg,"a small kid crying with tears streaming down her face."
images/img16.jpg,"Young woman with long, straight brown hair rocks a brown bucket hat, a cozy brown faux fur jacket, and a white hoodie, sipping from a brown paper cup."
images/img17.jpg,"Six silhouetted folks, arms up, chilling on a grassy hill as the sun sets, casting a golden glow over the misty mountains in the background."